Time	S	I	R
22.690000	0.420650	0.002901	0.576449
22.790000	0.420470	0.002796	0.576734
22.890000	0.420297	0.002694	0.577009
22.990000	0.420130	0.002596	0.577274
23.090000	0.419969	0.002502	0.577530
23.190000	0.419814	0.002410	0.577776
23.290000	0.419665	0.002323	0.578013
23.390000	0.419521	0.002238	0.578241
23.490000	0.419382	0.002156	0.578461
23.590000	0.419249	0.002078	0.578673
23.690000	0.419120	0.002002	0.578878
23.790000	0.418997	0.001929	0.579075
23.890000	0.418878	0.001858	0.579264
23.990000	0.418763	0.001790	0.579447
24.090000	0.418652	0.001725	0.579623
24.190000	0.418546	0.001662	0.579793
24.290000	0.418443	0.001601	0.579956
24.390000	0.418344	0.001542	0.580113
24.490000	0.418249	0.001486	0.580265
24.590000	0.418157	0.001431	0.580411
24.690000	0.418069	0.001379	0.580552
24.790000	0.417984	0.001328	0.580688
24.890000	0.417902	0.001280	0.580818
24.990000	0.417823	0.001233	0.580944
25.090000	0.417747	0.001187	0.581065
25.190000	0.417674	0.001144	0.581182
25.290000	0.417604	0.001102	0.581294
25.390000	0.417536	0.001061	0.581403
25.490000	0.417471	0.001022	0.581507
25.590000	0.417408	0.000985	0.581608
25.690000	0.417347	0.000948	0.581705
25.790000	0.417289	0.000914	0.581798
25.890000	0.417232	0.000880	0.581888
25.990000	0.417178	0.000848	0.581974
26.090000	0.417126	0.000816	0.582058
26.190000	0.417076	0.000786	0.582138
26.290000	0.417028	0.000757	0.582215
26.390000	0.416981	0.000729	0.582290
26.490000	0.416936	0.000703	0.582361
26.590000	0.416893	0.000677	0.582430
26.690000	0.416851	0.000652	0.582497
26.790000	0.416811	0.000628	0.582561
26.890000	0.416773	0.000605	0.582623
26.990000	0.416735	0.000582	0.582682
27.090000	0.416700	0.000561	0.582739
27.190000	0.416665	0.000540	0.582795
27.290000	0.416632	0.000520	0.582848
27.390000	0.416600	0.000501	0.582899
27.490000	0.416569	0.000483	0.582948
27.590000	0.416540	0.000465	0.582996
27.690000	0.416511	0.000448	0.583041
27.790000	0.416483	0.000431	0.583085
27.890000	0.416457	0.000415	0.583128
27.990000	0.416431	0.000400	0.583169
28.090000	0.416407	0.000385	0.583208
28.190000	0.416383	0.000371	0.583246
28.290000	0.416360	0.000357	0.583282
28.390000	0.416339	0.000344	0.583317
28.490000	0.416317	0.000331	0.583351
28.590000	0.416297	0.000319	0.583384
28.690000	0.416277	0.000307	0.583415
28.790000	0.416259	0.000296	0.583445
28.890000	0.416240	0.000285	0.583475
28.990000	0.416223	0.000275	0.583503
29.090000	0.416206	0.000264	0.583530
29.190000	0.416190	0.000255	0.583556
29.290000	0.416174	0.000245	0.583581
29.390000	0.416159	0.000236	0.583605
29.490000	0.416145	0.000227	0.583628
29.590000	0.416131	0.000219	0.583650
29.690000	0.416117	0.000211	0.583672
29.790000	0.416104	0.000203	0.583693
29.890000	0.416092	0.000196	0.583713
29.990000	0.416080	0.000188	0.583732
